date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:42:44	273787/273787	---M--	200	added ('OK')	image/png	etag:%2242d7b-66cff48a-b87d02d567cf4bc0;;;%22	https://studysmartplus.online/assets/img/gallery/home-blog1.png	studysmartplus.online/assets/img/gallery/home-blog1.png	(from https://studysmartplus.online/)
20:42:45	8636/8636	---M-Z	200	added ('OK')	application/x-javascript	etag:%2221bc-66cff489-185dc999e6188c44;gz%22	https://studysmartplus.online/assets/js/vendor/modernizr-3.5.0.min.js	studysmartplus.online/assets/js/vendor/modernizr-3.5.0.min.js	(from https://studysmartplus.online/)
20:42:45	243259/243259	---M--	200	added ('OK')	image/png	etag:%223b63b-66cff48a-161adc32acd12db2;;;%22	https://studysmartplus.online/assets/img/gallery/home-blog2.png	studysmartplus.online/assets/img/gallery/home-blog2.png	(from https://studysmartplus.online/)
20:42:46	97163/97163	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217b8b-66cff489-ab80013e2335879a;gz%22	https://studysmartplus.online/assets/js/vendor/jquery-1.12.4.min.js	studysmartplus.online/assets/js/vendor/jquery-1.12.4.min.js	(from https://studysmartplus.online/)
20:42:47	19188/19188	---M-Z	200	added ('OK')	application/x-javascript	etag:%224af4-66cff489-7795930280924cb2;gz%22	https://studysmartplus.online/assets/js/popper.min.js	studysmartplus.online/assets/js/popper.min.js	(from https://studysmartplus.online/)
20:42:48	48944/48944	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bf30-66cff489-690ae102a5d4b1d2;gz%22	https://studysmartplus.online/assets/js/bootstrap.min.js	studysmartplus.online/assets/js/bootstrap.min.js	(from https://studysmartplus.online/)
20:42:49	8415/8415	---M-Z	200	added ('OK')	application/x-javascript	etag:%2220df-66cff489-e2a5563057a5bb49;gz%22	https://studysmartplus.online/assets/js/jquery.slicknav.min.js	studysmartplus.online/assets/js/jquery.slicknav.min.js	(from https://studysmartplus.online/)
20:42:50	42766/42766	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a70e-66cff489-642ec89d7e3c8aa3;gz%22	https://studysmartplus.online/assets/js/owl.carousel.min.js	studysmartplus.online/assets/js/owl.carousel.min.js	(from https://studysmartplus.online/)
20:42:51	42863/42863	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a76f-66cff489-8b48da02541d60b;gz%22	https://studysmartplus.online/assets/js/slick.min.js	studysmartplus.online/assets/js/slick.min.js	(from https://studysmartplus.online/)
20:42:52	8415/8415	---M-Z	200	added ('OK')	application/x-javascript	etag:%2220df-66cff489-4e191c5241d84420;gz%22	https://studysmartplus.online/assets/js/wow.min.js	studysmartplus.online/assets/js/wow.min.js	(from https://studysmartplus.online/)
20:42:53	5532/5532	---M-Z	200	added ('OK')	application/x-javascript	etag:%22159c-66cff489-1c7e7662f3fd426;gz%22	https://studysmartplus.online/assets/js/animated.headline.js	studysmartplus.online/assets/js/animated.headline.js	(from https://studysmartplus.online/)
